Id,Site,Plot,Class,Order,Family,Genera,Species,Tree,Strata,Leaf,SPAD.average,Fresh.weight,Area,Dry.weight,LMA,LDMC,THICKNESS,LNC,LCC,N.C
12,MET,METSUR,Dicots,NA,NA,NA,NA1,B,0,8,52.475,0.698,0.00353475,0.166,46.96230285,0.23782235,197.4679963,2.496,46.414,0.053776878
13,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,C,1,1,37.775,13.984,0.039312,3.907,99.38441188,0.279390732,355.7183557,2.496,45.5,0.054857143
14,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,C,1,2,40.45,12.33,0.033593,3.493,103.9799958,0.283292782,367.0407525,2.594,46.096,0.056273863
15,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,C,1,3,42.3,13.668,0.037538,3.939,104.9336672,0.288191396,364.1110342,2.744,45.659,0.060097681
16,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,C,0,6,37.65,8.598,0.027988,2.446,87.39459768,0.284484764,307.203087,2.399,44.169,0.054314112
17,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,C,0,7,37.225,8.151,0.026402,2.278,86.28134232,0.279474911,308.7266116,2.511,42.763,0.058718986
18,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,C,0,8,37.4,7.91,0.023671,2.325,98.22145241,0.293931732,334.1641671,2.521,44.784,0.056292426
19,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,D,1,1,24.825,4.719,0.01222,1,81.83306056,0.211909303,386.1702128,3.123,45.857,0.068103016
20,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,D,1,2,34.05,9.508,0.027733,2.629,94.79681246,0.276503997,342.8406591,2.503,46.516,0.053809442
21,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,D,1,3,36.925,9.606,0.028146,2.796,99.33916009,0.291068082,341.2918354,2.524,46.629,0.054129404
22,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,D,0,6,40.3,4.184,0.023378,1.206,51.5869621,0.288240918,178.9716828,2.37,42.33,0.055988661
23,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,D,0,7,39.475,4.671,0.02853,1.296,45.42586751,0.277456647,163.7223975,2.347,43.27,0.054240813
24,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,D,0,8,39.375,4.843,0.029381,1.493,50.81515265,0.308279992,164.8344168,2.415,42.006,0.057491787
25,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,E,NA,1,45.325,12.491,0.037096,4.081,110.0118611,0.326715235,336.7209403,2.482,44.691,0.055536909
26,MET,METSUR,Dicots,Rosales,Moraceae,Castilla,Castilla elastica,E,NA,2,41.225,14.861,0.052614,4.202,79.8646748,0.282753516,282.4533394,2.573,46.044,0.055881331
